playlist name: 90's hits, playlist score 69.26887
playlist name: Throwback, playlist score 58.037006
playlist name: Rachel, playlist score 56.187843
playlist name: Throwback Hits  , playlist score 51.963757
playlist name: Throwback, playlist score 51.022854
playlist name: TBT, playlist score 50.445793
playlist name: Rosa, playlist score 49.604553
playlist name: Throwbacks, playlist score 46.799564
playlist name: 90s, playlist score 46.330208
playlist name: Trip, playlist score 43.80905
playlist name: Michelle , playlist score 43.070026
playlist name: 00s, playlist score 42.355488
playlist name: Guilty Pleasure, playlist score 41.701584
playlist name: old songs , playlist score 41.68698
playlist name: Work Out, playlist score 40.6982
playlist name: 90s Party, playlist score 40.243904
playlist name: tbt, playlist score 39.917015
playlist name: All time favorite , playlist score 38.48206
playlist name: throwback, playlist score 37.965744
playlist name: LDN, playlist score 37.1375
playlist name: My Musics, playlist score 36.923325
playlist name: #tbt, playlist score 36.102432
playlist name: workout, playlist score 35.956306
playlist name: now, playlist score 35.758343
playlist name: Camp, playlist score 34.91007
playlist name: NYE, playlist score 34.23505
playlist name: throwback , playlist score 33.5699
playlist name: Christmas, playlist score 33.317818
playlist name: Throwbacks, playlist score 32.97975
playlist name: pr, playlist score 32.70013
playlist name: 90s, playlist score 32.45992
playlist name: camp, playlist score 32.26394
playlist name: Party Mix, playlist score 31.827013
playlist name: old people, playlist score 31.676214
playlist name: Road Trip, playlist score 31.404108
playlist name: throwbacks, playlist score 31.073803
playlist name: oldies, playlist score 31.00492
playlist name: Throwback Jams, playlist score 30.641638
playlist name: GUILTY PLEASURES, playlist score 29.934866
playlist name: THROWBACK, playlist score 29.793556
playlist name: 90's, playlist score 29.723
playlist name: singalongs, playlist score 29.580128
playlist name: Top hits, playlist score 29.228777
playlist name: Throwbackkkk, playlist score 29.06315
playlist name: throwin it back, playlist score 28.813272
playlist name: Spring Break 2015, playlist score 28.317787
playlist name: old but gold, playlist score 28.295694
playlist name: ThrowBack Pop , playlist score 27.558222
playlist name: christmas, playlist score 27.124329
playlist name: old but good, playlist score 27.121162
playlist name: Rap/Pop, playlist score 26.924297
playlist name: Girly, playlist score 26.742283
playlist name: Car Rides, playlist score 26.381554
playlist name: 90s, playlist score 26.345861
playlist name: drive, playlist score 26.271877
playlist name: Feel good songs, playlist score 26.154732
playlist name: 80's, playlist score 26.136759
playlist name: California, playlist score 25.866215
playlist name: old but good , playlist score 25.822662
playlist name: Favorite Songs, playlist score 25.664854
playlist name: Throwbacks, playlist score 25.31192
playlist name: Throwback, playlist score 25.300066
playlist name: 90s, playlist score 25.177849
playlist name: ~Rando~, playlist score 25.147224
playlist name: Random, playlist score 25.116486
playlist name: Belters, playlist score 25.103691
playlist name: Too Close, playlist score 25.1002
playlist name: throwback jamz, playlist score 24.963787
playlist name: hoco, playlist score 24.915014
playlist name: partay , playlist score 24.887068
playlist name: Party, playlist score 24.832747
playlist name: Christmas, playlist score 24.634401
playlist name: Nostalgia, playlist score 24.578276
playlist name: 90s, playlist score 24.465849
playlist name: Family, playlist score 24.416368
playlist name: before my time, playlist score 24.01001
playlist name: Current, playlist score 23.969234
playlist name: WORKOUT, playlist score 23.893944
playlist name: Why Not, playlist score 23.760656
playlist name: Throwbacks, playlist score 23.726429
playlist name: nostalgia, playlist score 23.715378
playlist name: Naptime, playlist score 23.621527
playlist name: RoAD TriP, playlist score 23.29947
playlist name: Meow, playlist score 23.244122
playlist name: Christmas, playlist score 23.131136
playlist name: Trap, playlist score 23.017288
playlist name: Portland , playlist score 22.993763
playlist name: Acoustic, playlist score 22.978582
playlist name: jens, playlist score 22.844185
playlist name: Wedding Reception, playlist score 22.507803
playlist name: Pool Party, playlist score 22.405525
playlist name: Main Playlist, playlist score 22.403885
playlist name: Sleep, playlist score 22.292782
playlist name: 4/20, playlist score 22.221409
playlist name: old, playlist score 22.095316
playlist name: PARTY, playlist score 22.018429
playlist name: Throwbacks, playlist score 21.971668
playlist name: Mashup, playlist score 21.939825
playlist name: Throwback, playlist score 21.881687
playlist name: Feels, playlist score 21.8432
playlist name: workout 2, playlist score 21.743631
playlist name: Girl Power, playlist score 21.559032
playlist name: GALa, playlist score 21.48362
playlist name: for you, playlist score 21.428007
playlist name: Closer, playlist score 21.41529
playlist name: chill, playlist score 21.344341
playlist name: study!, playlist score 21.261932
playlist name: Party, playlist score 21.0692
playlist name: Workout, playlist score 21.010773
playlist name: VACATION, playlist score 20.83825
playlist name: Christmas jamz, playlist score 20.773472
playlist name: Engagement Party, playlist score 20.73057
playlist name: Band, playlist score 20.69879
playlist name: inspiring, playlist score 20.692022
playlist name: Shhh.., playlist score 20.67307
playlist name: peter, playlist score 20.44929
playlist name: WORKOUT, playlist score 20.44428
playlist name: tb, playlist score 20.419497
playlist name: Vermont, playlist score 20.418379
playlist name: Throwbacks , playlist score 20.404585
playlist name: CHRISTMASSSSS, playlist score 20.372646
playlist name: LITT , playlist score 20.320965
playlist name: graduation, playlist score 20.191004
playlist name: oldies, playlist score 20.166199
playlist name: Guilty Pleasures, playlist score 20.120285
playlist name: Running, playlist score 20.089079
playlist name: Workout, playlist score 20.062841
playlist name: FUN MUSIC, playlist score 20.031523
playlist name: 90's Hits, playlist score 20.03004
playlist name: groovy, playlist score 20.008036
playlist name: fall, playlist score 19.990047
playlist name: christmas time, playlist score 19.938084
playlist name: workout, playlist score 19.933489
playlist name: run, playlist score 19.810247
playlist name: Childhood Jams, playlist score 19.744331
playlist name: throw backs, playlist score 19.731327
playlist name: Running!, playlist score 19.710402
playlist name: // Drive, playlist score 19.603354
playlist name: Guilty Pleasures, playlist score 19.510872
playlist name: West Coast Swing, playlist score 19.506792
playlist name: happy, playlist score 19.455591
playlist name: This Is What You Came For, playlist score 19.365826
playlist name: Run Run Run, playlist score 19.20811
playlist name: Sexual, playlist score 19.18242
playlist name: Gym, playlist score 19.166988
playlist name: Covers, playlist score 18.928617
playlist name: SARAH, playlist score 18.86675
playlist name: older songs, playlist score 18.777456
playlist name: Taylor swift, playlist score 18.760626
playlist name: CW, playlist score 18.689823
playlist name: Oldies, playlist score 18.649784
playlist name: Go To, playlist score 18.635742
playlist name: Real Music, playlist score 18.62296
playlist name: Alternative, playlist score 18.567825
playlist name: Mr. Brightside, playlist score 18.518711
playlist name: Mixtape, playlist score 18.446785
playlist name: Party Party, playlist score 18.443933
playlist name: Workout, playlist score 18.375195
playlist name: Love, playlist score 18.348146
playlist name: Party, playlist score 18.274446
playlist name: summer 16', playlist score 18.265482
playlist name: Today's Hits, playlist score 18.224445
playlist name: good playlist, playlist score 18.20484
playlist name: texas, playlist score 18.204714
playlist name: 2015, playlist score 18.189138
playlist name: Main, playlist score 18.163015
playlist name: Slow Stuff, playlist score 18.102947
playlist name: 80's, playlist score 18.099115
playlist name: I workout!, playlist score 18.097767
playlist name: Workout, playlist score 18.093044
playlist name: Best of 2016, playlist score 18.033236
playlist name: 2015 Summer, playlist score 17.80929
playlist name: Dancing in the Moonlight, playlist score 17.787264
playlist name: feel good, playlist score 17.784548
playlist name: workout, playlist score 17.716503
playlist name: chill bro, playlist score 17.711552
playlist name: summer, playlist score 17.616785
playlist name: tb, playlist score 17.592299
playlist name: Just Chillin', playlist score 17.578259
playlist name: Relaxing , playlist score 17.550554
playlist name: <3, playlist score 17.479239
playlist name: REPEAT , playlist score 17.478256
playlist name: old, playlist score 17.452887
playlist name: GET DOWN, playlist score 17.428484
playlist name: work playlist, playlist score 17.410141
