playlist name: old music, playlist score 81.64751
playlist name: Throwbacks, playlist score 79.97715
playlist name: 90's hits, playlist score 78.49752
playlist name: throwback, playlist score 74.5406
playlist name: 90's & 00's, playlist score 72.10812
playlist name: Nostalgia, playlist score 70.13584
playlist name: 90s Hits, playlist score 70.09037
playlist name: 90s baby, playlist score 69.95481
playlist name: Pop, playlist score 67.60358
playlist name: #ThrowbackThursday, playlist score 65.48917
playlist name: Throwback, playlist score 61.85062
playlist name: Rachel, playlist score 61.73053
playlist name: Nineties, playlist score 60.58852
playlist name: throwback, playlist score 60.09768
playlist name: Throwback, playlist score 59.14839
playlist name: Throwback, playlist score 57.61789
playlist name: Throwback Hits, playlist score 56.48218
playlist name: Rosa, playlist score 55.37636
playlist name: old but gold, playlist score 52.3038
playlist name: 80's and 90's, playlist score 51.93992
playlist name: Dance Pop, playlist score 50.83765
playlist name: oldies but goodies, playlist score 50.67836
playlist name: 2000s, playlist score 50.48227
playlist name: 90's Kids, playlist score 49.33946
playlist name: POPERAS, playlist score 49.27581
playlist name: Wedding Morning, playlist score 49.04713
playlist name: TBT, playlist score 48.43892
playlist name: 90s, playlist score 48.28021
playlist name: Bad Taste, playlist score 48.01729
playlist name: Old, playlist score 46.98697
playlist name: Trip, playlist score 46.86877
playlist name: Throwbacks, playlist score 45.24605
playlist name: Feel Good, playlist score 45.1544
playlist name: Throwbacks :), playlist score 44.75818
playlist name: throw backs, playlist score 43.61881
playlist name: #throwbackthursday, playlist score 43.32079
playlist name: Road Trip, playlist score 42.79428
playlist name: Throwback Music, playlist score 42.60006
playlist name: Classics, playlist score 42.51845
playlist name: 90s Party, playlist score 42.23946
playlist name: Kitchen Dancing, playlist score 41.6842
playlist name: tbt, playlist score 41.22591
playlist name: Guilty Pleasure, playlist score 40.79635
playlist name: Michelle, playlist score 40.66858
playlist name: Cleaning PLaylist, playlist score 40.53079
playlist name: 00s, playlist score 40.51662
playlist name: Work Out, playlist score 40.00487
playlist name: Wedding Reception, playlist score 39.93586
playlist name: Boybands, playlist score 39.92373
playlist name: My Musics, playlist score 39.6689
playlist name: Roadtrippin, playlist score 39.54497
playlist name: The Journey, playlist score 39.13744
playlist name: tbt, playlist score 38.63579
playlist name: old songs, playlist score 38.5158
playlist name: All time favorite, playlist score 37.90946
playlist name: Party, playlist score 37.48336
playlist name: RECEPTION, playlist score 36.83295
playlist name: LDN, playlist score 36.75622
playlist name: 80s and 90s, playlist score 36.70002
playlist name: throwbacks, playlist score 36.55009
playlist name: Throwbacks, playlist score 36.5212
playlist name: NYE 2017, playlist score 36.19918
playlist name: tbt., playlist score 36.14578
playlist name: oldies, playlist score 36.11789
playlist name: Early 2000s, playlist score 36.07484
playlist name: throwback, playlist score 35.98814
playlist name: car karaoke, playlist score 35.80419
playlist name: throwbacks, playlist score 35.74413
playlist name: BIRTHDAY PARTY, playlist score 35.68662
playlist name: workout, playlist score 35.48101
playlist name: old people, playlist score 35.46843
playlist name: early 2000's, playlist score 35.12864
playlist name: throwback, playlist score 34.86349
playlist name: throwback thursday, playlist score 34.81606
playlist name: now, playlist score 34.78507
playlist name: Running, playlist score 34.47376
playlist name: throwbacks, playlist score 34.1008
playlist name: Throwbacks, playlist score 34.04609
playlist name: oldies, playlist score 33.95761
playlist name: 90's, playlist score 33.8536
playlist name: #tbt, playlist score 33.80789
playlist name: mainstream, playlist score 33.54031
playlist name: Camp, playlist score 33.34205
playlist name: NOLA, playlist score 33.30908
playlist name: Road Trip, playlist score 33.29545
playlist name: summer, playlist score 33.09502
playlist name: NYE, playlist score 33.08805
playlist name: Party List, playlist score 33.08539
playlist name: Spring Break 2015, playlist score 33.05833
playlist name: 👑👑👑, playlist score 32.87096
playlist name: throwback, playlist score 32.66477
playlist name: ♡♡♡, playlist score 32.51402
playlist name: Slow Music, playlist score 32.45003
playlist name: Party Mix, playlist score 32.22779
playlist name: Christmas Party, playlist score 32.21389
playlist name: camp, playlist score 32.02968
playlist name: pr, playlist score 32.00459
playlist name: 90s, playlist score 31.6031
playlist name: Christmas, playlist score 31.34871
playlist name: singalongs, playlist score 31.32485
