playlist name: Michelle, playlist score 272.0423
playlist name: 2000s, playlist score 259.884
playlist name: 2000s, playlist score 253.20135
playlist name: P.I.M.P., playlist score 248.8525
playlist name: w o r k o u t, playlist score 246.5631
playlist name: early 2000's, playlist score 244.70842
playlist name: throwback thursday, playlist score 241.31203
playlist name: Party, playlist score 236.12077
playlist name: TBT, playlist score 232.81506
playlist name: halloween party!, playlist score 226.98656
playlist name: Throwback, playlist score 226.2717
playlist name: bounce back, playlist score 226.14299
playlist name: 2000s Hip Hop, playlist score 225.7804
playlist name: NYE 2016, playlist score 222.70851
playlist name: 😛😛😛, playlist score 222.41885
playlist name: IDFWU, playlist score 219.2644
playlist name: BP, playlist score 218.92711
playlist name: THROWBACK, playlist score 216.66887
playlist name: old school rap, playlist score 214.80576
playlist name: 90's & 00's, playlist score 214.16081
playlist name: Throwbacks, playlist score 209.74487
playlist name: Throwin it back, playlist score 208.47687
playlist name: Throwback Music, playlist score 208.00195
playlist name: dance music, playlist score 207.87852
playlist name: tbt, playlist score 206.96153
playlist name: WEDDING, playlist score 206.88065
playlist name: GALa, playlist score 206.25896
playlist name: workout, playlist score 205.86197
playlist name: Party, playlist score 202.61607
playlist name: Bad Taste, playlist score 202.01521
playlist name: housewarming, playlist score 201.96971
playlist name: tb, playlist score 201.21104
playlist name: Rap, playlist score 201.11931
playlist name: party, playlist score 200.715
playlist name: PARTY, playlist score 200.32718
playlist name: throwbacks, playlist score 200.08865
playlist name: Throwbacks :), playlist score 200.01813
playlist name: Throwbacks, playlist score 198.7068
playlist name: run, playlist score 197.68399
playlist name: workout, playlist score 197.47665
playlist name: Nineties, playlist score 197.04057
playlist name: litty titty, playlist score 196.8717
playlist name: CW, playlist score 196.65164
playlist name: 90's hits, playlist score 195.94965
playlist name: Dance Party, playlist score 195.42494
playlist name: #throwbackthursday, playlist score 195.15884
playlist name: Way Back When, playlist score 194.2497
playlist name: Workout Music, playlist score 193.40814
playlist name: throwbacks, playlist score 193.08221
playlist name: tbt, playlist score 191.19939
playlist name: Rap, playlist score 189.46074
playlist name: 90s baby, playlist score 188.59705
playlist name: party songs, playlist score 188.58926
playlist name: rap favs, playlist score 188.37979
playlist name: Throwbackkkk, playlist score 187.66673
playlist name: NB, playlist score 186.8704
playlist name: Rap Mix, playlist score 186.84909
playlist name: Throwback hip hop, playlist score 185.5697
playlist name: Main Playlist, playlist score 185.0956
playlist name: Lil Wayne, playlist score 184.77463
playlist name: Old School, playlist score 184.15929
playlist name: THROWBACK, playlist score 183.02153
playlist name: Car jams, playlist score 182.66983
playlist name: Workout, playlist score 182.31877
playlist name: Main list, playlist score 181.47261
playlist name: Old, playlist score 180.83302
playlist name: throwbackkkkk, playlist score 180.62004
playlist name: pumpup, playlist score 180.55908
playlist name: Turn Up, playlist score 180.45116
playlist name: Jammin', playlist score 179.68013
playlist name: Throwbacks, playlist score 179.66327
playlist name: Party, playlist score 179.51631
playlist name: gym, playlist score 179.4535
playlist name: YOUNG, playlist score 178.99567
playlist name: Workout, playlist score 178.90483
playlist name: dance party, playlist score 178.58275
playlist name: Recent, playlist score 178.26193
playlist name: Rap, playlist score 178.24942
playlist name: hoco, playlist score 175.91878
playlist name: ✨✨, playlist score 175.80042
playlist name: Old, playlist score 174.08302
playlist name: Rap/Pop, playlist score 172.3288
playlist name: throwbacks, playlist score 172.27657
playlist name: 30th Birthday, playlist score 172.20187
playlist name: money, playlist score 171.97108
playlist name: Nostalgia, playlist score 171.47032
playlist name: The Journey, playlist score 170.96188
playlist name: party playlist, playlist score 170.59758
playlist name: PreGame, playlist score 170.35182
playlist name: Engagement Party, playlist score 170.247
playlist name: car, playlist score 169.99886
playlist name: Music��, playlist score 169.59377
playlist name: trappin, playlist score 168.64525
playlist name: Dance Pop, playlist score 168.23799
playlist name: HipHop, playlist score 168.02986
playlist name: throwback, playlist score 167.84494
playlist name: WORKOUT, playlist score 167.79515
playlist name: throwbacks, playlist score 167.7123
playlist name: hood jams, playlist score 167.63295
playlist name: This Is What You Came For, playlist score 167.10239
