playlist name: English, playlist score 59.48668
playlist name: SHOWER PLAYLIST, playlist score 55.27786
playlist name: hot., playlist score 53.75903
playlist name: for the boys, playlist score 53.49929
playlist name: 🎉🎉, playlist score 53.17139
playlist name: pop, playlist score 52.633
playlist name: workout 2, playlist score 51.898
playlist name: oldies, playlist score 49.88042
playlist name: Here, playlist score 49.12538
playlist name: workout, playlist score 48.64698
playlist name: kids, playlist score 47.26574
playlist name: bachelorette, playlist score 47.08228
playlist name: Pop Hits, playlist score 46.73216
playlist name: Life Sucks, playlist score 46.49205
playlist name: jams, playlist score 46.10828
playlist name: for the girls, playlist score 45.87632
playlist name: DJ, playlist score 45.59144
playlist name: Car jams, playlist score 44.52653
playlist name: Work, playlist score 44.2882
playlist name: Club music, playlist score 43.94261
playlist name: Starter, playlist score 43.2516
playlist name: Throwbacks, playlist score 42.38713
playlist name: jams, playlist score 42.2497
playlist name: Car Party, playlist score 42.09056
playlist name: mashup, playlist score 42.07916
playlist name: Main Playlist, playlist score 41.84484
playlist name: All Songs, playlist score 41.79944
playlist name: Slay, playlist score 41.66805
playlist name: Camp, playlist score 41.57609
playlist name: Jammin', playlist score 41.49542
playlist name: 💙💙💙, playlist score 41.42642
playlist name: Cancer, playlist score 41.33385
playlist name: car ride, playlist score 41.2576
playlist name: Personal, playlist score 41.23171
playlist name: jams, playlist score 41.18897
playlist name: w o r k o u t, playlist score 40.96223
playlist name: Club, playlist score 40.93224
playlist name: Workout, playlist score 40.90713
playlist name: Party Music, playlist score 40.71473
playlist name: Workout Mix, playlist score 40.59367
playlist name: Summer 2015, playlist score 40.28163
playlist name: Olivia, playlist score 40.19204
playlist name: SAUCE, playlist score 40.1259
playlist name: Like^^, playlist score 39.86817
playlist name: Party, playlist score 39.85222
playlist name: Potato, playlist score 39.79793
playlist name: jammin, playlist score 39.67702
playlist name: Pop, playlist score 39.60131
playlist name: Dance Songs, playlist score 39.36785
playlist name: Party, playlist score 39.28791
playlist name: Halloween, playlist score 39.1448
playlist name: Pop, playlist score 39.13258
playlist name: 🎵🎵, playlist score 38.44754
playlist name: CW, playlist score 38.07624
playlist name: Idk, playlist score 37.97613
playlist name: sweat, playlist score 37.91375
playlist name: 2015, playlist score 37.85537
playlist name: Disney throwbacks, playlist score 37.82931
playlist name: throwback, playlist score 37.81348
playlist name: REPEAT, playlist score 37.73066
playlist name: run, playlist score 37.6725
playlist name: My music, playlist score 37.52282
playlist name: Sup, playlist score 37.38379
playlist name: Meow, playlist score 37.3655
playlist name: 🤘🏼🤘🏼🤘🏼, playlist score 37.21191
playlist name: Dance Party, playlist score 37.04163
playlist name: FP, playlist score 37.02988
playlist name: throwbacks, playlist score 36.96561
playlist name: Party Time, playlist score 36.92839
playlist name: Pregame, playlist score 36.91721
playlist name: throwback, playlist score 36.82497
playlist name: <3, playlist score 36.79273
playlist name: Emma, playlist score 36.75858
playlist name: Scott, playlist score 36.72331
playlist name: car2, playlist score 36.71729
playlist name: Dance, playlist score 36.66745
playlist name: oldies but goodies :), playlist score 36.60285
playlist name: energy, playlist score 36.39322
playlist name: Broccoli, playlist score 36.39297
playlist name: My Jam, playlist score 36.38708
playlist name: workout, playlist score 36.34731
playlist name: Softball, playlist score 36.28982
playlist name: variedad, playlist score 36.21546
playlist name: music, playlist score 36.2052
playlist name: Mainstream, playlist score 36.16063
playlist name: Party Mode, playlist score 36.07174
playlist name: everything, playlist score 36.06724
playlist name: work., playlist score 35.80001
playlist name: Now, playlist score 35.73718
playlist name: vibez, playlist score 35.671
playlist name: basics, playlist score 35.48344
playlist name: Fun, playlist score 35.38709
playlist name: bored, playlist score 35.37026
playlist name: old, playlist score 35.33447
playlist name: Dance Pop, playlist score 35.32344
playlist name: THROWBACK, playlist score 35.30271
playlist name: THROWBACK!!!!!!!, playlist score 35.26413
playlist name: vegas, playlist score 35.26273
playlist name: Music, playlist score 35.18699
playlist name: 2016~, playlist score 35.14431
