playlist name: Sleep, playlist score 48.0917
playlist name: Eclipse, playlist score 44.53605
playlist name: <3, playlist score 42.7503
playlist name: Electro, playlist score 42.21851
playlist name: deep sleep, playlist score 42.00577
playlist name: feels, playlist score 40.92585
playlist name: 🇬🇧, playlist score 40.56205
playlist name: jan, playlist score 40.16832
playlist name: Lulu, playlist score 39.69893
playlist name: Slow ~, playlist score 38.15122
playlist name: Chill, playlist score 38.08214
playlist name: chill, playlist score 37.724
playlist name: 42, playlist score 36.57486
playlist name: eclipse, playlist score 36.47151
playlist name: MARSHALL, playlist score 36.33707
playlist name: Listen, playlist score 35.83838
playlist name: Awesome Mix, playlist score 35.75934
playlist name: Chillout, playlist score 35.04803
playlist name: Chill, playlist score 35.04559
playlist name: Garrett, playlist score 34.87058
playlist name: broken., playlist score 34.82937
playlist name: energy, playlist score 34.73264
playlist name: eclipse, playlist score 34.72062
playlist name: feels, playlist score 34.09915
playlist name: Workout, playlist score 33.93318
playlist name: old skool, playlist score 33.81903
playlist name: slow, playlist score 33.77803
playlist name: ayo, playlist score 33.58494
playlist name: Chill, playlist score 33.39666
playlist name: Touch, playlist score 33.18803
playlist name: Roadtripping, playlist score 33.13593
playlist name: serendipity, playlist score 32.86547
playlist name: Current Rotation, playlist score 32.83691
playlist name: SUMMER '15, playlist score 32.80796
playlist name: For You., playlist score 32.7234
playlist name: tunes, playlist score 32.29382
playlist name: sweet dreams, playlist score 31.87061
playlist name: APRIL :), playlist score 31.80425
playlist name: Stressed Out, playlist score 31.76715
playlist name: the good stuff, playlist score 31.73358
playlist name: NYE 2016, playlist score 31.56204
playlist name: Feel Good, playlist score 31.54876
playlist name: summerrr, playlist score 31.51345
playlist name: london, playlist score 31.34402
playlist name: Random, playlist score 31.29805
playlist name: Chill, playlist score 31.24623
playlist name: 2017, playlist score 31.10343
playlist name: grad party, playlist score 31.06346
playlist name: sunday, playlist score 30.95506
playlist name: Danielle, playlist score 30.93768
playlist name: Halloween, playlist score 30.92354
playlist name: Peter Hollens, playlist score 30.85527
playlist name: sleep, playlist score 30.71112
playlist name: beautiful songs, playlist score 30.64488
playlist name: Shuffle, playlist score 30.62943
playlist name: go-to, playlist score 30.52385
playlist name: 70s, playlist score 30.51229
playlist name: dance Mix, playlist score 30.51129
playlist name: For Amy, playlist score 30.45342
playlist name: wedding, playlist score 30.37334
playlist name: dancey, playlist score 30.2214
playlist name: Alternative, playlist score 30.10319
playlist name: ☀️, playlist score 30.08942
playlist name: Be Mine, playlist score 30.05884
playlist name: summer 2016, playlist score 30.01266
playlist name: Beats, playlist score 30.01236
playlist name: Currents, playlist score 29.90454
playlist name: 2016, playlist score 29.84116
playlist name: DANCE, playlist score 29.78931
playlist name: feel good, playlist score 29.78614
playlist name: wet, playlist score 29.64711
playlist name: twenty sixteen, playlist score 29.63628
playlist name: THE Playlist, playlist score 29.60127
playlist name: Summer, playlist score 29.57815
playlist name: white girl music, playlist score 29.54089
playlist name: Mellow, playlist score 29.19531
playlist name: eleven, playlist score 29.16043
playlist name: calm., playlist score 29.15586
playlist name: that mood, playlist score 29.1516
playlist name: alternative rock, playlist score 29.10515
playlist name: Chill Out, playlist score 29.09595
playlist name: Me Like, playlist score 29.07884
playlist name: Wavy, playlist score 29.06659
playlist name: piano, playlist score 29.05883
playlist name: Good Music, playlist score 29.02997
playlist name: chillin, playlist score 28.99754
playlist name: Alt Jams, playlist score 28.91199
playlist name: chill, playlist score 28.87657
playlist name: ROADTRIP, playlist score 28.87579
playlist name: house, playlist score 28.87184
playlist name: Play, playlist score 28.79112
playlist name: Chill out, playlist score 28.75722
playlist name: Gym, playlist score 28.70366
playlist name: steady, playlist score 28.6956
playlist name: 👌🏼, playlist score 28.56791
playlist name: PURPLE, playlist score 28.46983
playlist name: Discovered, playlist score 28.44664
playlist name: Chill, playlist score 28.36603
playlist name: detox, playlist score 28.34502
playlist name: Spirit, playlist score 28.28157
