playlist name: in love, playlist score 49.87342
playlist name: Alternative, playlist score 48.90984
playlist name: For You, playlist score 46.44373
playlist name: Chill, playlist score 45.14151
playlist name: Wanderlust, playlist score 43.7679
playlist name: Slow Dance, playlist score 41.86649
playlist name: Route 66, playlist score 41.686
playlist name: Home, playlist score 41.10853
playlist name: To Build A Home, playlist score 39.36214
playlist name: Shower Songs, playlist score 38.99543
playlist name: Now, playlist score 38.10298
playlist name: seasons:), playlist score 38.04401
playlist name: HappySad, playlist score 37.58041
playlist name: 2013, playlist score 37.11244
playlist name: sounds, playlist score 36.96045
playlist name: Musica, playlist score 36.95908
playlist name: FIREFLY 2016, playlist score 36.91121
playlist name: Chilling, playlist score 36.63305
playlist name: Mountains, playlist score 36.46677
playlist name: Chill, playlist score 36.43883
playlist name: Chill, playlist score 35.88736
playlist name: electro, playlist score 35.54246
playlist name: 14, playlist score 35.39192
playlist name: CV, playlist score 35.27259
playlist name: Run Run Run, playlist score 34.52126
playlist name: for the soul, playlist score 34.45222
playlist name: indie mix, playlist score 33.78835
playlist name: Chill, playlist score 33.61349
playlist name: mumford, playlist score 33.48795
playlist name: LOVELY, playlist score 33.41959
playlist name: spring break, playlist score 33.39168
playlist name: Feels, playlist score 33.34463
playlist name: woodstock, playlist score 33.31895
playlist name: colorado, playlist score 32.27605
playlist name: Hi, playlist score 32.15363
playlist name: Run for your life!, playlist score 31.71369
playlist name: wow, playlist score 31.62143
playlist name: miscellaneous, playlist score 31.40703
playlist name: road trip, playlist score 31.38214
playlist name: Acoustic, playlist score 31.13368
playlist name: sad tunes, playlist score 31.1268
playlist name: Em, playlist score 31.00851
playlist name: Soft Pop, playlist score 30.90422
playlist name: Folksy, playlist score 30.37734
playlist name: Road Trip, playlist score 30.32615
playlist name: Love, playlist score 30.14094
playlist name: wedding, playlist score 30.10217
playlist name: rad, playlist score 29.98111
playlist name: ((chris)), playlist score 29.95426
playlist name: folk, playlist score 29.79832
playlist name: alternative, playlist score 29.77702
playlist name: twenty sixteen, playlist score 29.74286
playlist name: Sunday Morning, playlist score 29.67759
playlist name: Nikita, playlist score 29.59574
playlist name: Sean, playlist score 29.37102
playlist name: chill, playlist score 29.33802
playlist name: Feel Good, playlist score 29.18101
playlist name: Sleep, playlist score 29.12928
playlist name: Cool Down, playlist score 28.94861
playlist name: Nostalgia, playlist score 28.86915
playlist name: Car Rides, playlist score 28.70896
playlist name: Danielle, playlist score 28.61631
playlist name: Indie Folk, playlist score 28.56089
playlist name: Luke!, playlist score 28.4066
playlist name: PURPLE, playlist score 28.27018
playlist name: Work, playlist score 27.98953
playlist name: van, playlist score 27.85673
playlist name: Oh Happy Day., playlist score 27.18439
playlist name: Indie stuff, playlist score 27.01294
playlist name: Indie Summer, playlist score 26.97362
playlist name: Acoustics, playlist score 26.6513
playlist name: Bruh, playlist score 26.57959
playlist name: Hangout, playlist score 26.52162
playlist name: Relax, playlist score 26.50785
playlist name: Inspiration, playlist score 26.49089
playlist name: Thanksgiving, playlist score 26.328
playlist name: Chillout, playlist score 26.20317
playlist name: 2013, playlist score 26.00146
playlist name: Yoga, playlist score 25.98518
playlist name: A little bit of everything, playlist score 25.95757
playlist name: Marathon, playlist score 25.90067
playlist name: day to day, playlist score 25.84019
playlist name: Trippin, playlist score 25.35907
playlist name: deep sleep, playlist score 25.06738
playlist name: butterflies, playlist score 24.76278
playlist name: Lounging, playlist score 24.48143
playlist name: Victor, playlist score 24.47697
playlist name: just chill, playlist score 24.19218
playlist name: jams, playlist score 24.01554
playlist name: alt, playlist score 23.93662
playlist name: Sunday, playlist score 23.90927
playlist name: Listen, playlist score 23.745
playlist name: Sky, playlist score 23.41657
playlist name: Relax, playlist score 23.2203
playlist name: alt, playlist score 22.76066
playlist name: 2015-2016, playlist score 22.60376
playlist name: Alternative, playlist score 22.51242
playlist name: For You, playlist score 22.38712
playlist name: DA, playlist score 22.26089
playlist name: Traffic Jams, playlist score 22.07966
