playlist name: OF, playlist score 6.08104
playlist name: Best Of, playlist score 4.35277
playlist name: Heart Of Gold, playlist score 3.84015
playlist name: thinking of you, playlist score 3.84015
playlist name: Best of 2016, playlist score 3.84015
playlist name: All of me, playlist score 3.84015
playlist name: Rock of Ages, playlist score 3.84015
playlist name: best of 2015, playlist score 3.68247
playlist name: Best of 2015, playlist score 3.68247
playlist name: Game of Thrones, playlist score 3.68247
playlist name: BEST OF 2015, playlist score 3.68247
playlist name: Best of 2016, playlist score 3.65552
playlist name: Shape of You, playlist score 3.65552
playlist name: end of summer, playlist score 3.65552
playlist name: 4th of july, playlist score 3.65552
playlist name: best of country, playlist score 3.65552
playlist name: Summer of '69, playlist score 3.65552
playlist name: End of Summer, playlist score 3.49454
playlist name: Summer of Love, playlist score 3.49454
playlist name: 4th of July, playlist score 3.49454
playlist name: best of drake, playlist score 3.49454
playlist name: Best of 2012, playlist score 3.49454
playlist name: 4th of july, playlist score 3.25902
playlist name: Summer of love, playlist score 3.25902
playlist name: sound of silence, playlist score 3.25902
playlist name: 4th of july, playlist score 3.25902
playlist name: Thinking of You, playlist score 3.25902
playlist name: 4th of July, playlist score 3.25902
playlist name: Best of Christmas, playlist score 3.25902
playlist name: Best of 2017, playlist score 3.25902
playlist name: Best of 2013, playlist score 3.25902
playlist name: End of Summer, playlist score 3.25902
playlist name: Best of the best, playlist score 3.20831
playlist name: Guardians of the Galaxy, playlist score 3.20831
playlist name: Song of the Day, playlist score 3.07586
playlist name: best of the best, playlist score 3.07586
playlist name: Best of the Best, playlist score 3.07586
playlist name: guardians of the galaxy, playlist score 3.05004
playlist name: Best Songs of 2016, playlist score 2.919
playlist name: Best of Discover Weekly, playlist score 2.919
playlist name: Love Of My Life, playlist score 2.919
playlist name: Best Day Of My Life, playlist score 2.75502
playlist name: Adventure Of A Lifetime, playlist score 2.72554
playlist name: Guardians of the Galaxy, playlist score 2.72554
playlist name: Lord of the Rings, playlist score 2.72554
playlist name: Song of the Day, playlist score 2.72554
playlist name: Time Of Our Lives, playlist score 2.72554
playlist name: Best Songs of 2016, playlist score 2.72554
playlist name: Favorite Songs of ALL TIME, playlist score 2.61664
playlist name: In the Name of Love, playlist score 2.50623
playlist name: A Little Bit of Everything, playlist score 2.50623
playlist name: A little bit of everything, playlist score 2.34214
playlist name: Best of the 90's, playlist score 2.34214
playlist name: Songs that remind me of you, playlist score 2.29108
playlist name: most wonderful time of the year, playlist score 2.19574
playlist name: songs that make me think of you, playlist score 2.05855
playlist name: Songs that remind me of you, playlist score 2.0533
playlist name: The Most Wonderful Time Of The Year, playlist score 1.9537
playlist name: 100 Pieces of Classical Music for Your Brain, playlist score 1.85413
playlist name: Guardians of the Galaxy: Awesome Mix Vol. 1, playlist score 1.83457
playlist name: Fifty Shades Of Grey (Original Motion Picture Soundtrack), playlist score 1.64707
