playlist name: Work work work work work, playlist score 7.54326
playlist name: Run Run Run, playlist score 7.22945
playlist name: Run Run Run, playlist score 6.88684
playlist name: fire, playlist score 6.81895
playlist name: fire, playlist score 6.81895
playlist name: Fire🔥🔥, playlist score 6.81895
playlist name: FIRE, playlist score 6.81895
playlist name: Fire, playlist score 6.81895
playlist name: everything, playlist score 6.79656
playlist name: Everything, playlist score 6.79656
playlist name: everything, playlist score 6.79656
playlist name: Drive, playlist score 6.79656
playlist name: Drive, playlist score 6.79656
playlist name: drive, playlist score 6.79656
playlist name: Everything, playlist score 6.79656
playlist name: everything, playlist score 6.79656
playlist name: Fire, playlist score 6.79469
playlist name: Fire🔥🔥🔥, playlist score 6.79469
playlist name: fire, playlist score 6.79469
playlist name: FIRE, playlist score 6.79469
playlist name: Fire, playlist score 6.79469
playlist name: run run, playlist score 6.69426
playlist name: Run, playlist score 6.62832
playlist name: run, playlist score 6.62832
playlist name: Run, playlist score 6.62832
playlist name: run, playlist score 6.62832
playlist name: Run, playlist score 6.62832
playlist name: Work, playlist score 6.60401
playlist name: Work, playlist score 6.60401
playlist name: // Drive, playlist score 6.4786
playlist name: Run, playlist score 6.4786
playlist name: DriVE$, playlist score 6.4786
playlist name: drive, playlist score 6.4786
playlist name: run, playlist score 6.4786
playlist name: Drive, playlist score 6.4786
playlist name: Drive, playlist score 6.4786
playlist name: drive, playlist score 6.4786
playlist name: Drive, playlist score 6.46502
playlist name: Drive, playlist score 6.46502
playlist name: drive, playlist score 6.46502
playlist name: go, playlist score 6.44448
playlist name: go!!, playlist score 6.44448
playlist name: Run Run, playlist score 6.25669
playlist name: Run!!, playlist score 6.17615
playlist name: run, playlist score 6.17615
playlist name: Run!, playlist score 6.17615
playlist name: run, playlist score 6.17615
playlist name: run, playlist score 6.17615
playlist name: work, playlist score 6.0942
playlist name: work, playlist score 6.0942
playlist name: WORK, playlist score 6.0942
playlist name: work, playlist score 6.0942
playlist name: Work, playlist score 6.0942
playlist name: Work, playlist score 6.0942
playlist name: Work, playlist score 6.0942
playlist name: Drive, playlist score 6.05663
playlist name: Drive, playlist score 6.05663
playlist name: drive, playlist score 6.05663
playlist name: Drive, playlist score 6.05663
playlist name: drive, playlist score 6.05663
playlist name: DRIVE, playlist score 6.05663
playlist name: run forest run, playlist score 5.97346
playlist name: Work, playlist score 5.88208
playlist name: Work, playlist score 5.88208
playlist name: WORK, playlist score 5.88208
playlist name: Run, playlist score 5.76979
playlist name: Run, playlist score 5.76979
playlist name: run, playlist score 5.76979
playlist name: run, playlist score 5.76979
playlist name: Run, playlist score 5.76979
playlist name: RUN, playlist score 5.76979
playlist name: RUN, playlist score 5.76979
playlist name: Run, playlist score 5.76979
playlist name: work, playlist score 5.48267
playlist name: Work, playlist score 5.48267
playlist name: Work, playlist score 5.48267
playlist name: Work, playlist score 5.48267
playlist name: Work, playlist score 5.48267
playlist name: WORK, playlist score 5.48267
playlist name: Work, playlist score 5.48267
playlist name: Work, playlist score 5.48267
playlist name: Work, playlist score 5.47343
playlist name: work, playlist score 5.47343
playlist name: Work, playlist score 5.47343
playlist name: WORK, playlist score 5.47343
playlist name: Work, playlist score 5.47343
playlist name: Work, playlist score 5.47343
playlist name: work, playlist score 5.47343
playlist name: work., playlist score 5.47343
playlist name: long drive, playlist score 5.11315
playlist name: The Drive, playlist score 5.11315
playlist name: run 2, playlist score 4.99996
playlist name: Work Out, playlist score 4.98211
playlist name: work songs, playlist score 4.98211
playlist name: WORK IT, playlist score 4.98211
playlist name: run it, playlist score 4.88982
playlist name: LET'S RUN!!!!!!!!, playlist score 4.88982
playlist name: Sunday Drive, playlist score 4.88982
playlist name: The Drive, playlist score 4.87677
playlist name: Long drive, playlist score 4.87677
