playlist name: old music, playlist score 83.73593
playlist name: Throwbacks, playlist score 82.67313
playlist name: 90's hits, playlist score 80.92773
playlist name: throwback, playlist score 78.6383
playlist name: 90s Hits, playlist score 74.94381
playlist name: 90's & 00's, playlist score 73.52138
playlist name: Nostalgia, playlist score 72.49202
playlist name: 90s baby, playlist score 71.87641
playlist name: #ThrowbackThursday, playlist score 69.44968
playlist name: Pop, playlist score 68.25426
playlist name: Rachel, playlist score 64.22468
playlist name: throwback, playlist score 63.82928
playlist name: Nineties, playlist score 62.96127
playlist name: Throwback, playlist score 62.04871
playlist name: Throwback, playlist score 61.29158
playlist name: Throwback, playlist score 58.58277
playlist name: Throwback Hits, playlist score 56.54266
playlist name: old but gold, playlist score 55.30611
playlist name: Dance Pop, playlist score 54.90346
playlist name: Rosa, playlist score 54.70267
playlist name: 80's and 90's, playlist score 53.73737
playlist name: 2000s, playlist score 52.22541
playlist name: oldies but goodies, playlist score 52.05792
playlist name: POPERAS, playlist score 51.29968
playlist name: Wedding Morning, playlist score 50.92936
playlist name: 90s, playlist score 50.83311
playlist name: TBT, playlist score 50.69301
playlist name: 90's Kids, playlist score 50.29733
playlist name: Trip, playlist score 49.6716
playlist name: Bad Taste, playlist score 48.42974
playlist name: Old, playlist score 48.21508
playlist name: Throwbacks :), playlist score 47.31449
playlist name: Throwbacks, playlist score 46.95283
playlist name: Feel Good, playlist score 46.73941
playlist name: throw backs, playlist score 45.52884
playlist name: #throwbackthursday, playlist score 45.2522
playlist name: Classics, playlist score 44.59339
playlist name: Throwback Music, playlist score 44.58648
playlist name: Road Trip, playlist score 44.42801
playlist name: Kitchen Dancing, playlist score 44.06882
playlist name: Boybands, playlist score 42.71023
playlist name: 00s, playlist score 42.68953
playlist name: Michelle, playlist score 42.61543
playlist name: Wedding Reception, playlist score 42.56107
playlist name: 90s Party, playlist score 42.55953
playlist name: tbt, playlist score 42.52245
playlist name: Roadtrippin, playlist score 42.31558
playlist name: Work Out, playlist score 42.23176
playlist name: The Journey, playlist score 41.79118
playlist name: Cleaning PLaylist, playlist score 41.27212
playlist name: Guilty Pleasure, playlist score 41.08191
playlist name: Party, playlist score 40.98699
playlist name: old songs, playlist score 40.94296
playlist name: My Musics, playlist score 40.18746
playlist name: tbt, playlist score 39.49604
playlist name: All time favorite, playlist score 39.46538
playlist name: LDN, playlist score 39.43403
playlist name: oldies, playlist score 39.41319
playlist name: throwbacks, playlist score 39.17538
playlist name: Throwbacks, playlist score 38.8894
playlist name: Early 2000s, playlist score 38.59193
playlist name: tbt., playlist score 38.58268
playlist name: throwbacks, playlist score 38.52335
playlist name: 80s and 90s, playlist score 38.30863
playlist name: throwback, playlist score 38.06081
playlist name: car karaoke, playlist score 37.84022
playlist name: early 2000's, playlist score 37.47273
playlist name: RECEPTION, playlist score 37.3401
playlist name: throwback, playlist score 37.16937
playlist name: NYE 2017, playlist score 37.12576
playlist name: Throwbacks, playlist score 37.08131
playlist name: throwback thursday, playlist score 36.92823
playlist name: throwbacks, playlist score 36.7408
playlist name: old people, playlist score 36.61816
playlist name: BIRTHDAY PARTY, playlist score 36.61093
playlist name: 90's, playlist score 36.49923
playlist name: 👑👑👑, playlist score 36.11627
playlist name: workout, playlist score 35.78679
playlist name: Party List, playlist score 35.699
playlist name: now, playlist score 35.64274
playlist name: oldies, playlist score 35.56074
playlist name: #tbt, playlist score 35.51972
playlist name: Running, playlist score 35.14137
playlist name: Slow Music, playlist score 35.08934
playlist name: Camp, playlist score 34.8543
playlist name: mainstream, playlist score 34.74595
playlist name: summer, playlist score 34.7108
playlist name: Road Trip, playlist score 34.50731
playlist name: NYE, playlist score 34.42269
playlist name: Christmas, playlist score 34.32365
playlist name: Party Mix, playlist score 34.21336
playlist name: NOLA, playlist score 34.16445
playlist name: throwback, playlist score 33.95049
playlist name: Spring Break 2015, playlist score 33.74423
playlist name: 90s, playlist score 33.0657
playlist name: ♡♡♡, playlist score 32.98516
playlist name: pr, playlist score 32.95224
playlist name: throwback, playlist score 32.87342
playlist name: singalongs, playlist score 32.82547
playlist name: Christmas Party, playlist score 32.80207
