playlist name: in love, playlist score 75.07912
playlist name: For You, playlist score 66.78005
playlist name: Alternative, playlist score 65.74276
playlist name: Wanderlust, playlist score 63.09432
playlist name: Chill, playlist score 61.14794
playlist name: Slow Dance, playlist score 58.43704
playlist name: HappySad, playlist score 56.74752
playlist name: FIREFLY 2016, playlist score 54.65263
playlist name: To Build A Home, playlist score 54.25254
playlist name: sounds, playlist score 53.9458
playlist name: seasons:), playlist score 53.22232
playlist name: Shower Songs, playlist score 53.15965
playlist name: Chill, playlist score 52.77903
playlist name: Home, playlist score 52.77129
playlist name: Route 66, playlist score 51.80313
playlist name: indie mix, playlist score 51.61957
playlist name: 2013, playlist score 51.23875
playlist name: Now, playlist score 50.91237
playlist name: Mountains, playlist score 50.83073
playlist name: LOVELY, playlist score 50.44971
playlist name: Chill, playlist score 50.27027
playlist name: mumford, playlist score 49.62094
playlist name: Chill, playlist score 49.35017
playlist name: CV, playlist score 49.34416
playlist name: Feels, playlist score 48.87094
playlist name: Chilling, playlist score 48.80981
playlist name: alternative, playlist score 48.74547
playlist name: wedding, playlist score 47.23461
playlist name: for the soul, playlist score 47.12264
playlist name: road trip, playlist score 46.91873
playlist name: rad, playlist score 46.22359
playlist name: Acoustic, playlist score 45.87625
playlist name: ((chris)), playlist score 45.73712
playlist name: sad tunes, playlist score 45.28273
playlist name: 14, playlist score 45.11137
playlist name: woodstock, playlist score 44.72277
playlist name: Musica, playlist score 44.36073
playlist name: Danielle, playlist score 44.28035
playlist name: Study Hall, playlist score 44.11704
playlist name: Nikita, playlist score 43.7711
playlist name: Trippin, playlist score 43.37758
playlist name: colorado, playlist score 43.3083
playlist name: Luke!, playlist score 42.89637
playlist name: twenty sixteen, playlist score 42.87562
playlist name: Em, playlist score 42.84426
playlist name: Run Run Run, playlist score 42.8075
playlist name: Indie Folk, playlist score 42.67343
playlist name: Road Trip, playlist score 42.1642
playlist name: Soft Pop, playlist score 42.09265
playlist name: butterflies, playlist score 41.99654
playlist name: Sean, playlist score 41.9848
playlist name: Relax, playlist score 41.59084
playlist name: Work, playlist score 41.36209
playlist name: folk, playlist score 41.23172
playlist name: Folksy, playlist score 41.213
playlist name: van, playlist score 40.9759
playlist name: Acoustics, playlist score 40.94094
playlist name: Nostalgia, playlist score 40.81937
playlist name: Hike, playlist score 40.59786
playlist name: Sleep, playlist score 40.40048
playlist name: Alt Nation, playlist score 40.20275
playlist name: PURPLE, playlist score 39.99386
playlist name: electro, playlist score 39.83336
playlist name: Marathon, playlist score 39.70473
playlist name: Chillout, playlist score 39.64673
playlist name: Feel Good, playlist score 39.58919
playlist name: Run for your life!, playlist score 39.48669
playlist name: Cool Down, playlist score 39.37745
playlist name: be mine, playlist score 39.34207
playlist name: Alternative, playlist score 39.25864
playlist name: Sky, playlist score 39.2555
playlist name: Indie stuff, playlist score 38.96108
playlist name: deep sleep, playlist score 38.94989
playlist name: Relax, playlist score 38.88201
playlist name: electric love, playlist score 38.76632
playlist name: spring break, playlist score 38.69012
playlist name: For You, playlist score 38.47945
playlist name: Camping, playlist score 38.45445
playlist name: THE Playlist, playlist score 38.4541
playlist name: Indie Summer, playlist score 38.39824
playlist name: Sunday, playlist score 38.33809
playlist name: wow, playlist score 38.27116
playlist name: Inspiration, playlist score 38.22499
playlist name: A little bit of everything, playlist score 38.12363
playlist name: Sunday Morning, playlist score 37.65328
playlist name: Shower, playlist score 37.65031
playlist name: Indie Stuff, playlist score 37.51596
playlist name: Love, playlist score 37.44832
playlist name: Hangout, playlist score 37.41631
playlist name: Hi, playlist score 37.30008
playlist name: Abby, playlist score 37.2869
playlist name: miscellaneous, playlist score 37.20149
playlist name: Indie love, playlist score 36.92538
playlist name: Wedding songs, playlist score 36.90023
playlist name: Oh Happy Day., playlist score 36.57657
playlist name: Chilly, playlist score 36.50842
playlist name: Chill music, playlist score 36.46134
playlist name: alt, playlist score 36.45818
playlist name: TOP, playlist score 36.38562
playlist name: Car Rides, playlist score 36.26284
