playlist name: my type, playlist score 46.86506
playlist name: chill out, playlist score 45.69302
playlist name: Dinner Party, playlist score 44.47764
playlist name: Hungover, playlist score 43.60047
playlist name: Smooth Sailing, playlist score 42.36206
playlist name: Love Music, playlist score 42.25531
playlist name: country, playlist score 41.15086
playlist name: Dancing in the Moonlight, playlist score 40.90814
playlist name: Spring 2016, playlist score 40.65482
playlist name: Alternative, playlist score 40.42329
playlist name: mhm, playlist score 40.3588
playlist name: jazzy, playlist score 40.12043
playlist name: Wedding!, playlist score 39.96175
playlist name: country, playlist score 39.89772
playlist name: The Journey, playlist score 39.8399
playlist name: Wedding Dinner Music, playlist score 39.65374
playlist name: new groove, playlist score 39.40469
playlist name: For You, playlist score 39.18181
playlist name: Coffee House, playlist score 39.1186
playlist name: AM, playlist score 39.1106
playlist name: My Oldies, playlist score 38.6496
playlist name: Old Soul, playlist score 38.19019
playlist name: mw, playlist score 38.17257
playlist name: Musica, playlist score 38.08107
playlist name: Mellow, playlist score 37.85642
playlist name: Blake, playlist score 37.73933
playlist name: Valentine's day, playlist score 37.40791
playlist name: other, playlist score 37.05893
playlist name: Friendsgiving, playlist score 36.83261
playlist name: beach party, playlist score 36.66743
playlist name: serenity, playlist score 36.5669
playlist name: Jams, playlist score 36.55306
playlist name: cafe, playlist score 36.54532
playlist name: wedding songs, playlist score 36.47316
playlist name: Otis, playlist score 36.46575
playlist name: Smokin, playlist score 36.41359
playlist name: Travel Tunes, playlist score 36.30745
playlist name: Rainy Day, playlist score 36.19232
playlist name: Slow Dancing, playlist score 36.10809
playlist name: Country Lovin', playlist score 36.08537
playlist name: Groove, playlist score 36.07735
playlist name: old fashioned, playlist score 36.03837
playlist name: Elliot, playlist score 35.89553
playlist name: Oldies, playlist score 35.87048
playlist name: alt, playlist score 35.56167
playlist name: Random, playlist score 35.54082
playlist name: Good stuff, playlist score 35.50263
playlist name: random, playlist score 35.49422
playlist name: Best Country, playlist score 35.41225
playlist name: good stuff, playlist score 35.32665
playlist name: Wedding Morning, playlist score 35.28709
playlist name: Addiction.., playlist score 35.15868
playlist name: things i like, playlist score 34.85696
playlist name: cali, playlist score 34.81422
playlist name: Luke!, playlist score 34.75884
playlist name: Vroom, playlist score 34.64487
playlist name: Wedding, playlist score 34.61551
playlist name: Thursday, playlist score 34.60235
playlist name: HER, playlist score 34.55362
playlist name: tbd, playlist score 34.46717
playlist name: electric love, playlist score 34.44672
playlist name: Summer Country, playlist score 34.44403
playlist name: relax, playlist score 34.3876
playlist name: CHRISTMAS!!!, playlist score 34.2134
playlist name: country, playlist score 34.17311
playlist name: soothe, playlist score 34.14182
playlist name: ❤❤❤, playlist score 34.13672
playlist name: wedding, playlist score 34.10675
playlist name: relax, playlist score 34.05327
playlist name: mainstream, playlist score 33.96862
playlist name: house playlist, playlist score 33.82567
playlist name: 80's, playlist score 33.73415
playlist name: country, playlist score 33.69779
playlist name: deep, playlist score 33.67981
playlist name: Feels, playlist score 33.59709
playlist name: Easy Listening, playlist score 33.58115
playlist name: Anything, playlist score 33.52922
playlist name: current music!!, playlist score 33.47721
playlist name: Country, playlist score 33.39455
playlist name: Country, playlist score 33.38803
playlist name: throwbackkk, playlist score 33.38206
playlist name: sad tunes, playlist score 33.36387
playlist name: For My Girl, playlist score 33.36274
playlist name: Chillout, playlist score 33.26128
playlist name: Summer 2016, playlist score 33.21086
playlist name: bros, playlist score 33.15792
playlist name: heart eyes, playlist score 33.04102
playlist name: My Country, playlist score 33.00729
playlist name: 🌹🌹, playlist score 32.97832
playlist name: Spring Has Sprung, playlist score 32.92632
playlist name: Classics, playlist score 32.89016
playlist name: Jams, playlist score 32.85848
playlist name: Country Playlist, playlist score 32.77371
playlist name: Slow mix, playlist score 32.76516
playlist name: picks, playlist score 32.73401
playlist name: Country love songs, playlist score 32.70805
playlist name: Riding music, playlist score 32.68965
playlist name: country, playlist score 32.64386
playlist name: Chill, playlist score 32.59411
playlist name: country, playlist score 32.52647
